spot,HMRF_PCA_k4_b.2
7x15,3
7x16,3
7x17,3
7x18,3
8x13,3
8x14,3
8x15,3
8x16,3
8x17,3
8x18,3
8x19,3
9x13,3
9x14,3
9x15,3
9x16,3
9x17,1
9x18,2
10x13,3
10x15,3
10x16,3
10x17,3
10x18,2
11x12,3
11x13,3
11x14,4
11x15,4
11x16,3
11x17,3
12x12,3
12x13,4
12x14,4
12x15,4
12x16,3
12x17,3
13x11,4
13x12,4
13x13,4
13x14,4
13x15,4
13x16,3
13x17,3
13x18,2
14x7,4
14x8,4
14x9,3
14x10,4
14x11,4
14x12,4
14x13,4
14x14,4
14x15,4
14x16,3
14x17,3
14x18,2
15x5,3
15x6,3
15x7,4
15x8,4
15x9,4
15x10,4
15x11,4
15x12,4
15x13,4
15x14,4
15x15,4
15x16,4
15x17,3
15x18,2
16x3,3
16x4,3
16x5,4
16x6,4
16x7,4
16x8,4
16x9,4
16x10,4
16x11,4
16x12,4
16x13,4
16x14,4
16x15,4
16x16,3
16x17,2
16x18,2
16x19,2
17x4,3
17x5,4
17x6,4
17x7,4
17x8,4
17x9,4
17x10,4
17x11,4
17x12,4
17x13,4
17x14,4
17x15,4
17x16,3
17x17,2
17x18,2
17x19,2
17x20,2
17x21,2
18x4,3
18x5,4
18x6,4
18x7,4
18x8,4
18x9,4
18x10,4
18x11,4
18x12,4
18x13,4
18x14,4
18x15,4
18x16,3
18x17,2
18x18,2
18x19,2
18x20,2
18x21,2
18x22,2
18x23,2
18x24,2
19x4,3
19x5,4
19x6,4
19x7,4
19x8,4
19x9,4
19x10,4
19x11,4
19x12,4
19x13,4
19x14,4
19x15,4
19x16,3
19x17,2
19x18,2
19x19,2
19x20,2
19x21,4
19x22,2
19x23,2
19x24,2
19x25,2
19x26,2
19x27,2
19x28,2
20x5,3
20x6,4
20x7,4
20x8,4
20x9,4
20x10,4
20x11,4
20x12,4
20x13,1
20x14,4
20x15,4
20x16,2
20x17,2
20x18,2
20x19,2
20x20,2
20x21,2
20x22,1
20x23,2
20x24,2
20x25,2
20x26,2
20x27,2
20x28,2
21x6,4
21x7,4
21x8,4
21x9,4
21x10,4
21x11,4
21x12,4
21x13,4
21x14,3
21x15,3
21x16,2
21x17,2
21x18,2
21x19,2
21x20,2
21x21,1
21x22,1
21x23,1
21x24,1
21x25,1
21x26,1
21x27,2
21x28,2
22x6,4
22x7,4
22x8,4
22x9,4
22x10,4
22x11,4
22x12,4
22x13,3
22x14,3
22x15,2
22x16,2
22x17,2
22x18,2
22x19,2
22x20,1
22x21,1
22x22,1
22x23,1
22x24,2
22x25,1
22x26,1
22x27,1
23x7,4
23x8,4
23x9,4
23x10,4
23x11,4
23x12,3
23x13,3
23x14,2
23x15,2
23x16,2
23x17,2
23x18,2
23x19,1
23x20,1
23x21,1
23x22,1
23x23,1
23x24,1
23x25,3
23x26,3
24x8,4
24x9,4
24x10,4
24x11,4
24x12,3
24x13,3
24x14,3
24x15,2
24x16,2
24x17,2
24x18,2
24x19,2
24x20,1
24x21,1
24x22,1
24x23,1
24x24,1
24x25,1
25x9,2
25x10,3
25x11,3
25x12,3
25x13,3
25x14,3
25x15,2
25x16,2
25x17,2
25x18,2
25x19,2
25x20,1
25x21,1
25x22,1
25x23,1
25x24,1
26x11,3
26x12,2
26x13,3
26x14,3
26x15,2
26x16,2
26x17,2
26x18,2
26x19,2
26x20,2
26x21,1
26x22,1
26x23,3
27x14,3
27x15,2
27x17,2
27x18,2
27x19,2
27x20,2
27x21,1
27x22,1
